name,pos,team,round,injury_risk,note
Cam Ward,QB,Tennessee Titans,1,0.10,Durable through full college career at Incarnate Word/WSU/Miami; no notable injury flags
Jaxson Dart,QB,New York Giants,1,0.15,Generally durable at Ole Miss; minor bumps but no major missed time
Tyler Shough,QB,New Orleans Saints,2,0.75,Extensive injury history: two collarbone breaks and a broken fibula across college; red-flag durability
Jalen Milroe,QB,Seattle Seahawks,3,0.15,Rushing QB style adds wear but clean college injury record
Dillon Gabriel,QB,Cleveland Browns,3,0.30,Suffered torn clavicle/collarbone at UCF in 2021 (season-ending) but durable since
Will Howard,QB,Pittsburgh Steelers,6,0.20,"Mostly durable; minor finger/leg issues at Ohio State, no major concerns"
Ashton Jeanty,RB,Las Vegas Raiders,1,0.15,Heavy college workload at Boise State but clean injury record; no flags
Omarion Hampton,RB,Los Angeles Chargers,1,0.20,High-volume back at UNC; durable but heavy carry count raises mild wear concern
Quinshon Judkins,RB,Cleveland Browns,2,0.20,Workhorse at Ole Miss/Ohio State; durable with minor in-season knocks
TreVeyon Henderson,RB,New England Patriots,2,0.50,Recurring foot injury at Ohio State (2022-2023) limited multiple seasons; medical flag
Kaleb Johnson,RB,Pittsburgh Steelers,3,0.20,Largely durable at Iowa; minor early-career injuries only
RJ Harvey,RB,Denver Broncos,2,0.45,Torn ACL in 2020 at UCF (medical redshirt) though durable afterward; flagged for prior knee
Bhayshul Tuten,RB,Jacksonville Jaguars,4,0.20,Durable at Virginia Tech; fumble concerns not injury-related
Cam Skattebo,RB,New York Giants,4,0.35,Bruising physical style with heavy ASU workload; some minor injury history
Trevor Etienne,RB,Carolina Panthers,4,0.30,Minor rib/shoulder injuries at Georgia; missed some games
Woody Marks,RB,Houston Texans,4,0.20,Durable across long career at Mississippi State/USC; no major flags
Dylan Sampson,RB,Cleveland Browns,4,0.20,Durable at Tennessee; small frame is mild concern but clean record
DJ Giddens,RB,Indianapolis Colts,5,0.15,Clean durability at Kansas State; no notable injuries
Devin Neal,RB,New Orleans Saints,6,0.15,Durable four-year producer at Kansas; no injury flags
Travis Hunter,WR,Jacksonville Jaguars,1,0.55,Two-way workload concern; shoulder/lacerated liver injury (2023) and rib injury at Colorado
Tetairoa McMillan,WR,Carolina Panthers,1,0.15,Durable three-year producer at Arizona; no injury flags
Emeka Egbuka,WR,Tampa Bay Buccaneers,1,0.25,Mostly durable at Ohio State; ankle injury limited 2023 season
Matthew Golden,WR,Green Bay Packers,1,0.25,Minor hamstring/shoulder issues at Houston/Texas; missed some games
Luther Burden III,WR,Chicago Bears,2,0.15,Durable high-volume slot at Missouri; no injury concerns
Jayden Higgins,WR,Houston Texans,2,0.15,Durable at Iowa State; clean injury record
Tre Harris,WR,Los Angeles Chargers,2,0.40,Season-ending groin/lower-body injury cut short 2024 at Ole Miss; medical flag
Jack Bech,WR,Las Vegas Raiders,2,0.20,Generally durable at LSU/TCU; minor knocks only
Jaylin Noel,WR,Houston Texans,3,0.15,Durable four-year producer at Iowa State; no flags
Kyle Williams,WR,New England Patriots,3,0.20,Mostly durable across UNLV/Washington State; minor injuries
Isaac TeSlaa,WR,Detroit Lions,3,0.15,Durable at Hillsdale/Arkansas; no injury concerns
Pat Bryant,WR,Denver Broncos,3,0.15,Durable at Illinois; clean record
Savion Williams,WR,Green Bay Packers,3,0.20,Mostly durable at TCU; minor injuries over long career
Dont'e Thornton,WR,Las Vegas Raiders,4,0.20,Some minor injuries across Oregon/Tennessee; no major flags
Arian Smith,WR,New York Jets,4,0.45,Multiple soft-tissue/leg injuries at Georgia limited availability; durability concern
Tory Horton,WR,Seattle Seahawks,5,0.40,Season-ending knee injury in 2024 at Colorado State; medical flag
Tai Felton,WR,Minnesota Vikings,3,0.15,Durable producer at Maryland; no injury flags
Colston Loveland,TE,Chicago Bears,1,0.35,Shoulder injury required offseason surgery (2024) at Michigan; medical flag at combine
Tyler Warren,TE,Indianapolis Colts,1,0.15,Durable workhorse at Penn State; no injury concerns
Mason Taylor,TE,New York Jets,2,0.15,Durable three-year starter at LSU; clean record
Elijah Arroyo,TE,Seattle Seahawks,2,0.70,Serious recurring knee injuries cost chunks of two seasons at Miami; significant medical flag
Harold Fannin Jr.,TE,Cleveland Browns,3,0.15,Durable high-volume producer at Bowling Green; no flags
Terrance Ferguson,TE,Los Angeles Rams,2,0.20,Mostly durable at Oregon; minor injuries only
Gunnar Helm,TE,Tennessee Titans,4,0.20,Generally durable at Texas; minor knocks
