name,injury_risk,note
Jahmyr Gibbs,0.30,occasional minor knocks (hamstring 2023) but largely durable RB1 workload
Bijan Robinson,0.10,workhorse RB with no significant injury history three healthy pro seasons
Ja'Marr Chase,0.35,hip 2022 and AC joint 2023 sprain but generally available
Puka Nacua,0.65,PCL/knee 2024 missed six games soft-tissue recurrence concern
Jaxon Smith-Njigba,0.20,minor wrist 2023 fully healthy 2024-25 ascending durability
Christian McCaffrey,0.90,Achilles/PCL/calf 2024-25 chronic durability concerns age 30
Jonathan Taylor,0.50,ankle surgery 2023 thumb 2024 multi-game absences history
Amon-Ra St. Brown,0.25,minor knocks but plays through them iron-man WR profile
James Cook III,0.25,no major injuries durable three-year workload
Justin Jefferson,0.35,one hamstring stint 2023 fully healthy 2024-25 elite availability
CeeDee Lamb,0.30,AC joint sprain 2024 played through it generally durable
Ashton Jeanty,0.15,rookie 2025 healthy debut workhorse college sample
De'Von Achane,0.65,smaller frame concussions 2023-24 soft-tissue absences
Kenneth Walker III,0.70,recurring oblique/ankle/calf injuries multi-week miss every season
Chase Brown,0.20,no significant injury history clean two-year sample
Omarion Hampton,0.15,rookie 2025 healthy debut no NFL flags
Saquon Barkley,0.45,durable 2024-25 but career ACL/ankle history workload at age 29
Trey McBride,0.25,minor concussion 2024 plays consistently TE durability
Drake London,0.30,fractured ankle 2022 healthy since occasional knocks
Rashee Rice,0.85,LCL/meniscus surgery 2024 returned late 2025 reinjury risk
Jeremiyah Love,0.20,rookie 2026 no NFL history minor college foot
Brock Bowers,0.25,minor knocks 2025 elite availability rookie season
Derrick Henry,0.45,remarkably durable but age 32 and heavy workload risk
Malik Nabers,0.85,torn ACL Sept 2024 returned 2025 lingering reinjury concerns
Nico Collins,0.60,hamstring missed five games 2024 calf 2025 soft-tissue pattern
George Pickens,0.40,hamstring issues 2023-24 missed games but generally available
Josh Allen,0.05,iron-man QB never missed games elite durability
Josh Jacobs,0.30,durable but heavy usage minor knocks workload watch
A.J. Brown,0.55,hamstring/knee issues recurring soft-tissue multi-week miss 2024
Chris Olave,0.80,multiple concussions 2024 chronic head injury risk return concern
Kyren Williams,0.25,ankle 2023 mostly durable since two clean seasons
Travis Etienne Jr.,0.55,shoulder/hamstring issues 2024 multi-game miss declining usage
Breece Hall,0.55,torn ACL 2022 lingering effects occasional soft-tissue
Javonte Williams,0.60,major knee/LCL injury 2022 reduced burst history
Garrett Wilson,0.25,minor injuries plays through them durable three-year sample
Tetairoa McMillan,0.15,rookie 2025 healthy debut no flags
DeVonta Smith,0.35,smaller frame occasional misses but durable overall
Tee Higgins,0.70,hamstring/quad/ribs multiple multi-game absences yearly chronic
Zay Flowers,0.30,knee sprain late 2024 healthy 2025 fully recovered
Bucky Irving,0.20,no significant injury history clean early career
Ladd McConkey,0.30,minor back/hip issues 2024 available but smaller frame
Luther Burden III,0.15,rookie 2025 no significant history
Colston Loveland,0.30,shoulder surgery pre-draft 2025 monitored recovered
Emeka Egbuka,0.15,rookie 2025 healthy debut
Lamar Jackson,0.50,knee/ankle injuries 2021-22 ended seasons healthy 2023-25 mobile QB risk
Cam Skattebo,0.20,rookie 2025 no significant history
TreVeyon Henderson,0.30,college foot issues healthy 2025 rookie year
Davante Adams,0.30,age 33 concern but durable career minor knocks
David Montgomery,0.60,MCL/knee injury ended 2024 season multi-game absences history
